source_id,tract_geoid
CH4_1B2_250m_-103.67184_32.50734?status=not_deleted,35025000900
CH4_1B2_250m_-103.73924_32.14290?status=not_deleted,35015000800
CH4_1B2_250m_-103.73814_32.29702?status=not_deleted,35015000800
CH4_1B2_250m_-103.76083_32.26808?status=not_deleted,35015000800
CH4_1B2_250m_-103.51121_32.55983?status=not_deleted,35025000702
CH4_1B2_250m_-103.71204_32.49137?status=not_deleted,35025000900
CH4_1B2_250m_-104.30260_32.02085?status=not_deleted,35015000800
CH4_1B2_250m_-104.31619_32.01835?status=not_deleted,35015000800
CH4_1B2_250m_-104.21829_32.08060?status=not_deleted,35015000800
CH4_1B2_250m_-103.95181_32.07991?status=not_deleted,35015000800
CH4_1B2_250m_-103.90283_32.03597?status=not_deleted,35015000800
CH4_1B2_250m_-103.89966_32.03514?status=not_deleted,35015000800
CH4_1B2_250m_-103.90367_32.04894?status=not_deleted,35015000800
CH4_1B2_250m_-103.94723_32.09279?status=not_deleted,35015000800
CH4_1B2_250m_-104.06020_32.21155?status=not_deleted,35015000800
CH4_1B2_250m_-104.06340_32.21081?status=not_deleted,35015000800
CH4_1B2_250m_-104.06374_32.29858?status=not_deleted,35015000800
CH4_1B2_250m_-104.06068_32.31070?status=not_deleted,35015000800
CH4_1B2_250m_-103.98199_32.25546?status=not_deleted,35015000800
CH4_1B2_250m_-104.04500_32.33836?status=not_deleted,35015000700
CH4_1B2_250m_-103.67311_32.03472?status=not_deleted,35025000900
CH4_1B2_250m_-103.73428_32.09341?status=not_deleted,35015000800
CH4_1B2_250m_-103.78073_32.19347?status=not_deleted,35015000800
CH4_1B2_250m_-103.66783_32.07904?status=not_deleted,35025000900
CH4_1B2_250m_-103.66487_32.06441?status=not_deleted,35025000900
CH4_1B2_250m_-103.73124_32.17243?status=not_deleted,35015000800
CH4_1B2_250m_-104.31232_32.17159?status=not_deleted,35015000700
CH4_1B2_250m_-104.27499_32.11313?status=not_deleted,35015000700
CH4_1B2_250m_-104.26361_32.07946?status=not_deleted,35015000700
CH4_1B2_250m_-104.22042_32.13864?status=not_deleted,35015000800
CH4_1B2_250m_-103.78512_32.32118?status=not_deleted,35015000800
CH4_1B2_250m_-103.72407_32.26580?status=not_deleted,35015000800
CH4_1B2_250m_-103.79726_32.29711?status=not_deleted,35015000800
CH4_1B2_250m_-103.80629_32.26897?status=not_deleted,35015000800
CH4_1B2_250m_-103.78791_32.30557?status=not_deleted,35015000800
CH4_1B2_250m_-103.80264_32.30531?status=not_deleted,35015000800
CH4_1B2_250m_-103.83135_32.33025?status=not_deleted,35015000800
CH4_1B2_250m_-103.79212_32.30672?status=not_deleted,35015000800
CH4_1B2_250m_-103.82719_32.22613?status=not_deleted,35015000800
CH4_1B2_250m_-103.80229_32.23851?status=not_deleted,35015000800
CH4_1B2_250m_-103.72501_32.08112?status=not_deleted,35015000800
CH4_1B2_250m_-103.82783_32.16122?status=not_deleted,35015000800
CH4_1B2_250m_-103.97019_32.24812?status=not_deleted,35015000800
CH4_1B2_250m_-104.08494_32.28260?status=not_deleted,35015000800
CH4_1B2_250m_-103.98141_32.20970?status=not_deleted,35015000800
CH4_1B2_250m_-104.06433_32.31919?status=not_deleted,35015000700
CH4_1B2_250m_-103.96504_32.19345?status=not_deleted,35015000800
CH4_1B2_250m_-103.99632_32.19831?status=not_deleted,35015000800
CH4_1B2_250m_-104.06073_32.30670?status=not_deleted,35015000800
CH4_1B2_250m_-104.09918_32.25833?status=not_deleted,35015000800
CH4_1B2_250m_-103.95454_32.09292?status=not_deleted,35015000800
CH4_1B2_250m_-103.88484_32.04902?status=not_deleted,35015000800
CH4_1B2_250m_-103.89603_32.04944?status=not_deleted,35015000800
CH4_1B2_250m_-104.00499_32.15281?status=not_deleted,35015000800
CH4_1B2_250m_-104.02516_32.18401?status=not_deleted,35015000800
CH4_1B2_250m_-104.05172_32.18643?status=not_deleted,35015000800
CH4_1B2_250m_-104.06171_32.25371?status=not_deleted,35015000800
CH4_1B2_250m_-103.95686_32.07957?status=not_deleted,35015000800
CH4_1B2_250m_-104.12425_32.25988?status=not_deleted,35015000800
CH4_1B2_250m_-104.14086_32.26935?status=not_deleted,35015000800
CH4_1B2_250m_-104.13153_32.27030?status=not_deleted,35015000800
CH4_1B2_250m_-104.01748_32.06359?status=not_deleted,35015000800
CH4_1B2_250m_-104.11672_32.14902?status=not_deleted,35015000800
CH4_1B2_250m_-104.10390_32.19503?status=not_deleted,35015000800
CH4_1B2_250m_-104.00989_32.00061?status=not_deleted,35015000800
CH4_1B2_250m_-104.09809_32.10831?status=not_deleted,35015000800
CH4_1B2_250m_-104.11880_32.12459?status=not_deleted,35015000800
CH4_1B2_250m_-104.28564_32.19250?status=not_deleted,35015000700
CH4_1B2_250m_-104.21198_32.12299?status=not_deleted,35015000800
CH4_1B2_250m_-104.31674_32.11708?status=not_deleted,35015000700
CH4_1B2_250m_-103.78156_32.26284?status=not_deleted,35015000800
CH4_1B2_250m_-103.78983_32.27619?status=not_deleted,35015000800
CH4_1B2_250m_-103.81647_32.25698?status=not_deleted,35015000800
CH4_1B2_250m_-103.74579_32.16028?status=not_deleted,35015000800
CH4_1B2_250m_-103.73958_32.10192?status=not_deleted,35015000800
CH4_1B2_250m_-103.72769_32.06466?status=not_deleted,35015000800
CH4_1B2_250m_-103.69833_32.05078?status=not_deleted,35025000900
CH4_1B2_250m_-103.97496_32.26953?status=not_deleted,35015000800
CH4_1B2_250m_-104.00058_32.26770?status=not_deleted,35015000800
CH4_1B2_250m_-103.91333_32.18548?status=not_deleted,35015000800
CH4_1B2_250m_-103.91295_32.20514?status=not_deleted,35015000800
CH4_1B2_250m_-104.05489_32.34073?status=not_deleted,35015000700
CH4_1B2_250m_-103.97442_32.22177?status=not_deleted,35015000800
CH4_1B2_250m_-104.08377_32.26689?status=not_deleted,35015000800
CH4_1B2_250m_-104.18107_32.00087?status=not_deleted,35015000800
CH4_1B2_250m_-104.20359_32.08291?status=not_deleted,35015000800
CH4_1B2_250m_-104.27571_32.17748?status=not_deleted,35015000700
CH4_1B2_250m_-104.22207_32.03498?status=not_deleted,35015000800
CH4_1B2_250m_-104.21353_32.04870?status=not_deleted,35015000800
CH4_1B2_250m_-104.29161_32.17697?status=not_deleted,35015000700
CH4_1B2_250m_-104.11831_32.07785?status=not_deleted,35015000800
CH4_1B2_250m_-104.10231_32.04885?status=not_deleted,35015000800
CH4_1B2_250m_-104.09935_32.01976?status=not_deleted,35015000800
CH4_1B2_250m_-104.10581_32.07799?status=not_deleted,35015000800
CH4_1B2_250m_-104.18101_32.25323?status=not_deleted,35015000800
CH4_1B2_250m_-104.16501_32.25381?status=not_deleted,35015000800
CH4_1B2_250m_-103.89556_32.06586?status=not_deleted,35015000800
CH4_1B2_250m_-103.91003_32.04942?status=not_deleted,35015000800
CH4_1B2_250m_-104.06418_32.25763?status=not_deleted,35015000800
CH4_1B2_250m_-103.88235_32.06501?status=not_deleted,35015000800
CH4_1B2_250m_-103.96299_32.14541?status=not_deleted,35015000800
CH4_1B2_250m_-103.93067_32.22567?status=not_deleted,35015000800
CH4_1B2_250m_-103.75737_32.06470?status=not_deleted,35015000800
CH4_1B2_250m_-103.90054_32.30472?status=not_deleted,35015000800
CH4_1B2_250m_-103.80181_32.22401?status=not_deleted,35015000800
CH4_1B2_250m_-103.73331_32.22482?status=not_deleted,35015000800
CH4_1B2_250m_-103.63886_32.15093?status=not_deleted,35025000900
CH4_1B2_250m_-103.74139_32.27642?status=not_deleted,35015000800
CH4_1B2_250m_-103.72577_32.28941?status=not_deleted,35015000800
CH4_1B2_250m_-103.72592_32.26874?status=not_deleted,35015000800
CH4_1B2_250m_-103.74610_32.27654?status=not_deleted,35015000800
CH4_1B2_250m_-103.57967_32.25500?status=not_deleted,35025000900
CH4_1B2_250m_-103.58422_32.25450?status=not_deleted,35025000900
CH4_1B2_250m_-103.58701_32.25272?status=not_deleted,35025000900
CH4_1B2_250m_-103.59785_32.25682?status=not_deleted,35025000900
CH4_1B2_250m_-103.63510_32.26689?status=not_deleted,35025000900
CH4_1B2_250m_-103.69397_32.27019?status=not_deleted,35025000900
CH4_1B2_250m_-104.14898_32.26320?status=not_deleted,35015000800
CH4_1B2_250m_-104.08971_32.30843?status=not_deleted,35015000800
CH4_1B2_250m_-104.04673_32.34292?status=not_deleted,35015000700
