NAME,B01003_001E,B17001_002E,B03002_003E,B03002_012E,B08201_002E,state,county,tract,block group
Block Group 2; Census Tract 2.03; Bernalillo County; New Mexico,1006,,381,259,,35,001,000203,2
Block Group 1; Census Tract 2.04; Bernalillo County; New Mexico,1751,,885,700,,35,001,000204,1
Block Group 2; Census Tract 2.04; Bernalillo County; New Mexico,1369,,515,600,,35,001,000204,2
Block Group 1; Census Tract 2.05; Bernalillo County; New Mexico,815,,190,314,,35,001,000205,1
Block Group 2; Census Tract 2.05; Bernalillo County; New Mexico,692,,369,320,,35,001,000205,2
Block Group 3; Census Tract 2.05; Bernalillo County; New Mexico,489,,199,268,,35,001,000205,3
Block Group 4; Census Tract 2.05; Bernalillo County; New Mexico,945,,656,210,,35,001,000205,4
Block Group 1; Census Tract 2.06; Bernalillo County; New Mexico,2261,,1102,605,,35,001,000206,1
Block Group 2; Census Tract 2.06; Bernalillo County; New Mexico,961,,614,198,,35,001,000206,2
Block Group 1; Census Tract 2.07; Bernalillo County; New Mexico,1395,,478,660,,35,001,000207,1
Block Group 2; Census Tract 2.07; Bernalillo County; New Mexico,705,,241,278,,35,001,000207,2
Block Group 3; Census Tract 2.07; Bernalillo County; New Mexico,793,,243,377,,35,001,000207,3
Block Group 1; Census Tract 2.08; Bernalillo County; New Mexico,670,,139,378,,35,001,000208,1
Block Group 2; Census Tract 2.08; Bernalillo County; New Mexico,595,,276,285,,35,001,000208,2
Block Group 3; Census Tract 2.08; Bernalillo County; New Mexico,1419,,376,748,,35,001,000208,3
Block Group 1; Census Tract 3; Bernalillo County; New Mexico,1351,,781,491,,35,001,000300,1
Block Group 2; Census Tract 3; Bernalillo County; New Mexico,689,,340,159,,35,001,000300,2
Block Group 3; Census Tract 3; Bernalillo County; New Mexico,579,,291,247,,35,001,000300,3
Block Group 4; Census Tract 3; Bernalillo County; New Mexico,1185,,606,518,,35,001,000300,4
Block Group 5; Census Tract 3; Bernalillo County; New Mexico,1623,,720,444,,35,001,000300,5
Block Group 6; Census Tract 3; Bernalillo County; New Mexico,998,,595,195,,35,001,000300,6
Block Group 1; Census Tract 4.01; Bernalillo County; New Mexico,1536,,458,835,,35,001,000401,1
Block Group 2; Census Tract 4.01; Bernalillo County; New Mexico,1180,,849,201,,35,001,000401,2
Block Group 3; Census Tract 4.01; Bernalillo County; New Mexico,1703,,641,846,,35,001,000401,3
Block Group 1; Census Tract 4.02; Bernalillo County; New Mexico,923,,238,272,,35,001,000402,1
Block Group 2; Census Tract 4.02; Bernalillo County; New Mexico,473,,283,171,,35,001,000402,2
Block Group 3; Census Tract 4.02; Bernalillo County; New Mexico,1061,,772,220,,35,001,000402,3
Block Group 4; Census Tract 4.02; Bernalillo County; New Mexico,1091,,589,278,,35,001,000402,4
Block Group 1; Census Tract 5.01; Bernalillo County; New Mexico,2069,,844,841,,35,001,000501,1
Block Group 2; Census Tract 5.01; Bernalillo County; New Mexico,617,,307,85,,35,001,000501,2
Block Group 1; Census Tract 5.03; Bernalillo County; New Mexico,1208,,865,219,,35,001,000503,1
Block Group 2; Census Tract 5.03; Bernalillo County; New Mexico,2077,,1068,453,,35,001,000503,2
Block Group 1; Census Tract 5.04; Bernalillo County; New Mexico,1355,,736,340,,35,001,000504,1
Block Group 1; Census Tract 6.01; Bernalillo County; New Mexico,1138,,569,312,,35,001,000601,1
Block Group 2; Census Tract 6.01; Bernalillo County; New Mexico,1006,,417,457,,35,001,000601,2
Block Group 3; Census Tract 6.01; Bernalillo County; New Mexico,1056,,483,257,,35,001,000601,3
Block Group 4; Census Tract 6.01; Bernalillo County; New Mexico,843,,473,236,,35,001,000601,4
Block Group 1; Census Tract 6.03; Bernalillo County; New Mexico,2377,,703,1363,,35,001,000603,1
Block Group 2; Census Tract 6.03; Bernalillo County; New Mexico,2132,,293,1471,,35,001,000603,2
Block Group 1; Census Tract 6.05; Bernalillo County; New Mexico,1127,,471,532,,35,001,000605,1
Block Group 2; Census Tract 6.05; Bernalillo County; New Mexico,797,,19,556,,35,001,000605,2
Block Group 3; Census Tract 6.05; Bernalillo County; New Mexico,608,,210,311,,35,001,000605,3
Block Group 4; Census Tract 6.05; Bernalillo County; New Mexico,713,,205,438,,35,001,000605,4
Block Group 5; Census Tract 6.05; Bernalillo County; New Mexico,831,,272,499,,35,001,000605,5
Block Group 1; Census Tract 7.04; Bernalillo County; New Mexico,856,,213,573,,35,001,000704,1
Block Group 2; Census Tract 7.04; Bernalillo County; New Mexico,854,,386,374,,35,001,000704,2
Block Group 3; Census Tract 7.04; Bernalillo County; New Mexico,1984,,795,970,,35,001,000704,3
Block Group 1; Census Tract 7.11; Bernalillo County; New Mexico,2476,,1722,379,,35,001,000711,1
Block Group 2; Census Tract 7.11; Bernalillo County; New Mexico,737,,388,272,,35,001,000711,2
Block Group 3; Census Tract 7.11; Bernalillo County; New Mexico,1013,,477,336,,35,001,000711,3
Block Group 1; Census Tract 7.12; Bernalillo County; New Mexico,2490,,710,965,,35,001,000712,1
Block Group 2; Census Tract 7.12; Bernalillo County; New Mexico,1806,,938,584,,35,001,000712,2
Block Group 1; Census Tract 7.13; Bernalillo County; New Mexico,1004,,256,561,,35,001,000713,1
Block Group 2; Census Tract 7.13; Bernalillo County; New Mexico,1546,,592,562,,35,001,000713,2
Block Group 3; Census Tract 7.13; Bernalillo County; New Mexico,1275,,599,636,,35,001,000713,3
Block Group 4; Census Tract 7.13; Bernalillo County; New Mexico,1631,,1019,548,,35,001,000713,4
Block Group 1; Census Tract 7.14; Bernalillo County; New Mexico,552,,251,157,,35,001,000714,1
Block Group 2; Census Tract 7.14; Bernalillo County; New Mexico,1848,,615,632,,35,001,000714,2
Block Group 3; Census Tract 7.14; Bernalillo County; New Mexico,1362,,334,912,,35,001,000714,3
Block Group 4; Census Tract 7.14; Bernalillo County; New Mexico,1264,,685,77,,35,001,000714,4
Block Group 1; Census Tract 7.15; Bernalillo County; New Mexico,2630,,338,2196,,35,001,000715,1
Block Group 1; Census Tract 7.16; Bernalillo County; New Mexico,1491,,335,967,,35,001,000716,1
Block Group 2; Census Tract 7.16; Bernalillo County; New Mexico,1324,,97,900,,35,001,000716,2
Block Group 3; Census Tract 7.16; Bernalillo County; New Mexico,605,,131,474,,35,001,000716,3
Block Group 4; Census Tract 7.16; Bernalillo County; New Mexico,1169,,118,1019,,35,001,000716,4
Block Group 1; Census Tract 7.17; Bernalillo County; New Mexico,2035,,554,1067,,35,001,000717,1
Block Group 1; Census Tract 7.18; Bernalillo County; New Mexico,1593,,494,940,,35,001,000718,1
Block Group 2; Census Tract 7.18; Bernalillo County; New Mexico,909,,371,338,,35,001,000718,2
Block Group 3; Census Tract 7.18; Bernalillo County; New Mexico,1402,,445,828,,35,001,000718,3
Block Group 1; Census Tract 7.19; Bernalillo County; New Mexico,3117,,1584,724,,35,001,000719,1
Block Group 1; Census Tract 7.20; Bernalillo County; New Mexico,658,,309,203,,35,001,000720,1
Block Group 2; Census Tract 7.20; Bernalillo County; New Mexico,1940,,1326,486,,35,001,000720,2
Block Group 3; Census Tract 7.20; Bernalillo County; New Mexico,1278,,1037,140,,35,001,000720,3
Block Group 1; Census Tract 9.04; Bernalillo County; New Mexico,1914,,396,856,,35,001,000904,1
Block Group 2; Census Tract 9.04; Bernalillo County; New Mexico,2127,,831,1160,,35,001,000904,2
Block Group 1; Census Tract 9.05; Bernalillo County; New Mexico,1771,,515,815,,35,001,000905,1
Block Group 1; Census Tract 9.06; Bernalillo County; New Mexico,1528,,705,661,,35,001,000906,1
Block Group 2; Census Tract 9.06; Bernalillo County; New Mexico,1336,,651,306,,35,001,000906,2
Block Group 3; Census Tract 9.06; Bernalillo County; New Mexico,638,,369,127,,35,001,000906,3
Block Group 1; Census Tract 9.07; Bernalillo County; New Mexico,794,,129,626,,35,001,000907,1
Block Group 2; Census Tract 9.07; Bernalillo County; New Mexico,811,,135,373,,35,001,000907,2
Block Group 3; Census Tract 9.07; Bernalillo County; New Mexico,591,,83,477,,35,001,000907,3
Block Group 1; Census Tract 9.08; Bernalillo County; New Mexico,1239,,29,1097,,35,001,000908,1
