NAME,B01003_001E,C17002_002E,C17002_003E,B03002_003E,B03002_012E,B25044_003E,B25044_010E,state,county,tract,block group,total_pop,pct_poverty_proxy,pct_minority,pct_hispanic,pct_no_vehicle,GEOID
Block Group 3; Census Tract 1.21; Bernalillo County; New Mexico,1160,325,59,938,151,0,233,35,001,000121,3,1160,33.10344827586207,19.137931034482758,13.017241379310345,20.086206896551726,350010001213
Block Group 4; Census Tract 1.21; Bernalillo County; New Mexico,1607,16,85,628,965,0,0,35,001,000121,4,1607,6.285003111387678,60.92097075295582,60.04978220286248,0.0,350010001214
Block Group 5; Census Tract 1.21; Bernalillo County; New Mexico,381,2,0,225,114,0,6,35,001,000121,5,381,0.5249343832020997,40.944881889763785,29.92125984251969,1.574803149606299,350010001215
Block Group 1; Census Tract 1.22; Bernalillo County; New Mexico,1624,450,11,588,936,0,0,35,001,000122,1,1624,28.386699507389164,63.793103448275865,57.635467980295566,0.0,350010001221
Block Group 2; Census Tract 1.22; Bernalillo County; New Mexico,866,3,9,360,494,0,0,35,001,000122,2,866,1.3856812933025404,58.429561200923786,57.04387990762124,0.0,350010001222
Block Group 3; Census Tract 1.22; Bernalillo County; New Mexico,367,8,49,217,150,0,0,35,001,000122,3,367,15.531335149863759,40.87193460490464,40.87193460490463,0.0,350010001223
Block Group 4; Census Tract 1.22; Bernalillo County; New Mexico,1828,75,19,576,1158,13,28,35,001,000122,4,1828,5.142231947483589,68.49015317286651,63.34792122538293,2.242888402625821,350010001224
Block Group 1; Census Tract 1.23; Bernalillo County; New Mexico,611,3,12,259,261,0,0,35,001,000123,1,611,2.454991816693944,57.61047463175123,42.716857610474634,0.0,350010001231
Block Group 2; Census Tract 1.23; Bernalillo County; New Mexico,1013,4,66,327,611,35,0,35,001,000123,2,1013,6.910167818361303,67.71964461994078,60.315893385982235,3.4550839091806513,350010001232
Block Group 3; Census Tract 1.23; Bernalillo County; New Mexico,823,20,40,278,386,0,20,35,001,000123,3,823,7.290400972053463,66.22114216281896,46.901579586877276,2.4301336573511545,350010001233
Block Group 4; Census Tract 1.23; Bernalillo County; New Mexico,693,25,8,504,157,26,7,35,001,000123,4,693,4.761904761904762,27.27272727272727,22.655122655122657,4.761904761904762,350010001234
Block Group 5; Census Tract 1.23; Bernalillo County; New Mexico,1553,5,0,1241,296,0,0,35,001,000123,5,1553,0.3219575016097875,20.090148100450744,19.05988409529942,0.0,350010001235
Block Group 1; Census Tract 1.24; Bernalillo County; New Mexico,926,60,387,228,573,0,435,35,001,000124,1,926,48.272138228941685,75.377969762419,61.87904967602592,46.97624190064795,350010001241
Block Group 2; Census Tract 1.24; Bernalillo County; New Mexico,676,174,41,352,288,0,205,35,001,000124,2,676,31.804733727810653,47.928994082840234,42.60355029585799,30.325443786982248,350010001242
Block Group 3; Census Tract 1.24; Bernalillo County; New Mexico,788,8,9,407,308,0,9,35,001,000124,3,788,2.1573604060913705,48.350253807106604,39.08629441624365,1.1421319796954315,350010001243
Block Group 4; Census Tract 1.24; Bernalillo County; New Mexico,1425,137,130,484,545,41,5,35,001,000124,4,1425,18.736842105263158,66.03508771929825,38.24561403508772,3.2280701754385968,350010001244
Block Group 1; Census Tract 1.25; Bernalillo County; New Mexico,1587,65,17,981,316,0,0,35,001,000125,1,1587,5.16698172652804,38.18525519848771,19.911783238815374,0.0,350010001251
Block Group 2; Census Tract 1.25; Bernalillo County; New Mexico,1504,40,28,853,457,18,0,35,001,000125,2,1504,4.521276595744681,43.284574468085104,30.38563829787234,1.196808510638298,350010001252
Block Group 3; Census Tract 1.25; Bernalillo County; New Mexico,1036,17,0,837,147,0,0,35,001,000125,3,1036,1.6409266409266408,19.20849420849421,14.18918918918919,0.0,350010001253
Block Group 1; Census Tract 1.26; Bernalillo County; New Mexico,1490,140,153,762,453,0,9,35,001,000126,1,1490,19.664429530201343,48.85906040268456,30.402684563758392,0.6040268456375839,350010001261
Block Group 2; Census Tract 1.26; Bernalillo County; New Mexico,898,22,26,504,314,0,2,35,001,000126,2,898,5.3452115812917596,43.87527839643652,34.96659242761693,0.22271714922048996,350010001262
Block Group 1; Census Tract 1.27; Bernalillo County; New Mexico,996,77,17,235,720,0,0,35,001,000127,1,996,9.437751004016064,76.40562248995984,72.28915662650603,0.0,350010001271
Block Group 2; Census Tract 1.27; Bernalillo County; New Mexico,914,10,27,464,303,0,0,35,001,000127,2,914,4.048140043763676,49.23413566739606,33.15098468271335,0.0,350010001272
Block Group 3; Census Tract 1.27; Bernalillo County; New Mexico,754,0,76,478,188,32,0,35,001,000127,3,754,10.079575596816976,36.604774535809014,24.93368700265252,4.244031830238726,350010001273
Block Group 1; Census Tract 1.28; Bernalillo County; New Mexico,1014,117,131,229,508,21,0,35,001,000128,1,1014,24.45759368836292,77.41617357001974,50.09861932938856,2.0710059171597637,350010001281
Block Group 2; Census Tract 1.28; Bernalillo County; New Mexico,1216,11,135,643,456,0,0,35,001,000128,2,1216,12.006578947368421,47.12171052631579,37.5,0.0,350010001282
Block Group 3; Census Tract 1.28; Bernalillo County; New Mexico,399,24,0,107,278,26,0,35,001,000128,3,399,6.015037593984962,73.1829573934837,69.67418546365914,6.516290726817042,350010001283
Block Group 4; Census Tract 1.28; Bernalillo County; New Mexico,900,28,12,345,539,24,12,35,001,000128,4,900,4.444444444444445,61.66666666666667,59.88888888888889,4.0,350010001284
Block Group 1; Census Tract 1.29; Bernalillo County; New Mexico,2037,83,161,595,787,0,0,35,001,000129,1,2037,11.978399607265587,70.79037800687284,38.635247913598434,0.0,350010001291
Block Group 2; Census Tract 1.29; Bernalillo County; New Mexico,2113,331,196,913,867,0,148,35,001,000129,2,2113,24.940842404164695,56.79129200189305,41.03170847136772,7.004259346900142,350010001292
Block Group 3; Census Tract 1.29; Bernalillo County; New Mexico,850,0,46,499,331,0,20,35,001,000129,3,850,5.411764705882352,41.294117647058826,38.94117647058823,2.3529411764705883,350010001293
Block Group 1; Census Tract 2.03; Bernalillo County; New Mexico,1255,25,115,679,266,0,58,35,001,000203,1,1255,11.155378486055776,45.89641434262948,21.195219123505975,4.621513944223107,350010002031
Block Group 2; Census Tract 2.03; Bernalillo County; New Mexico,1006,27,284,381,259,8,84,35,001,000203,2,1006,30.91451292246521,62.1272365805169,25.745526838966203,9.145129224652088,350010002032
Block Group 1; Census Tract 2.04; Bernalillo County; New Mexico,1751,62,18,885,700,0,21,35,001,000204,1,1751,4.568817818389491,49.45745288406624,39.97715591090805,1.1993146773272416,350010002041
Block Group 2; Census Tract 2.04; Bernalillo County; New Mexico,1369,224,87,515,600,32,40,35,001,000204,2,1369,22.717311906501095,62.381300219138055,43.82761139517896,5.259313367421475,350010002042
Block Group 1; Census Tract 2.05; Bernalillo County; New Mexico,815,61,169,190,314,18,0,35,001,000205,1,815,28.22085889570552,76.68711656441718,38.52760736196319,2.208588957055215,350010002051
Block Group 2; Census Tract 2.05; Bernalillo County; New Mexico,692,43,23,369,320,6,0,35,001,000205,2,692,9.53757225433526,46.67630057803468,46.24277456647399,0.8670520231213872,350010002052
Block Group 3; Census Tract 2.05; Bernalillo County; New Mexico,489,16,20,199,268,33,0,35,001,000205,3,489,7.361963190184049,59.30470347648262,54.805725971370144,6.748466257668712,350010002053
Block Group 4; Census Tract 2.05; Bernalillo County; New Mexico,945,85,191,656,210,0,33,35,001,000205,4,945,29.20634920634921,30.582010582010575,22.22222222222222,3.492063492063492,350010002054
Block Group 1; Census Tract 2.06; Bernalillo County; New Mexico,2261,87,131,1102,605,10,0,35,001,000206,1,2261,9.641751437417073,51.26050420168067,26.758071649712516,0.4422821760283061,350010002061
Block Group 2; Census Tract 2.06; Bernalillo County; New Mexico,961,36,23,614,198,10,0,35,001,000206,2,961,6.139438085327783,36.10822060353798,20.60353798126951,1.040582726326743,350010002062
Block Group 1; Census Tract 2.07; Bernalillo County; New Mexico,1395,65,0,478,660,0,0,35,001,000207,1,1395,4.659498207885305,65.7347670250896,47.31182795698925,0.0,350010002071
Block Group 2; Census Tract 2.07; Bernalillo County; New Mexico,705,57,66,241,278,0,0,35,001,000207,2,705,17.4468085106383,65.81560283687944,39.43262411347518,0.0,350010002072
Block Group 3; Census Tract 2.07; Bernalillo County; New Mexico,793,2,162,243,377,0,0,35,001,000207,3,793,20.68095838587642,69.35687263556116,47.540983606557376,0.0,350010002073
Block Group 1; Census Tract 2.08; Bernalillo County; New Mexico,670,26,149,139,378,9,0,35,001,000208,1,670,26.119402985074625,79.25373134328359,56.4179104477612,1.3432835820895521,350010002081
Block Group 2; Census Tract 2.08; Bernalillo County; New Mexico,595,79,8,276,285,55,0,35,001,000208,2,595,14.6218487394958,53.61344537815126,47.89915966386555,9.243697478991598,350010002082
Block Group 3; Census Tract 2.08; Bernalillo County; New Mexico,1419,262,67,376,748,12,0,35,001,000208,3,1419,23.185341789992954,73.50246652572234,52.71317829457365,0.8456659619450317,350010002083
Block Group 1; Census Tract 3; Bernalillo County; New Mexico,1351,0,84,781,491,0,33,35,001,000300,1,1351,6.217616580310881,42.190969652109544,36.34344929681717,2.4426350851221317,350010003001
Block Group 2; Census Tract 3; Bernalillo County; New Mexico,689,45,0,340,159,0,21,35,001,000300,2,689,6.531204644412192,50.653120464441216,23.076923076923077,3.0478955007256894,350010003002
Block Group 3; Census Tract 3; Bernalillo County; New Mexico,579,23,0,291,247,0,0,35,001,000300,3,579,3.9723661485319512,49.740932642487046,42.659758203799655,0.0,350010003003
Block Group 4; Census Tract 3; Bernalillo County; New Mexico,1185,75,85,606,518,0,0,35,001,000300,4,1185,13.502109704641349,48.86075949367089,43.71308016877637,0.0,350010003004
Block Group 5; Census Tract 3; Bernalillo County; New Mexico,1623,745,28,720,444,14,66,35,001,000300,5,1623,47.62784966112138,55.637707948243985,27.35674676524954,4.929143561306223,350010003005
Block Group 6; Census Tract 3; Bernalillo County; New Mexico,998,5,107,595,195,50,42,35,001,000300,6,998,11.22244488977956,40.3807615230461,19.539078156312627,9.218436873747494,350010003006
Block Group 1; Census Tract 4.01; Bernalillo County; New Mexico,1536,171,69,458,835,0,26,35,001,000401,1,1536,15.625,70.18229166666667,54.361979166666664,1.6927083333333333,350010004011
Block Group 2; Census Tract 4.01; Bernalillo County; New Mexico,1180,107,43,849,201,10,0,35,001,000401,2,1180,12.711864406779661,28.050847457627114,17.033898305084747,0.847457627118644,350010004012
Block Group 3; Census Tract 4.01; Bernalillo County; New Mexico,1703,108,91,641,846,0,99,35,001,000401,3,1703,11.685261303581914,62.360540223135644,49.67704051673517,5.813270698766882,350010004013
Block Group 1; Census Tract 4.02; Bernalillo County; New Mexico,923,15,12,238,272,8,22,35,001,000402,1,923,2.925243770314193,74.21451787648971,29.469122426868903,3.2502708559046587,350010004021
Block Group 2; Census Tract 4.02; Bernalillo County; New Mexico,473,64,0,283,171,0,0,35,001,000402,2,473,13.530655391120508,40.169133192389005,36.1522198731501,0.0,350010004022
Block Group 3; Census Tract 4.02; Bernalillo County; New Mexico,1061,56,0,772,220,0,0,35,001,000402,3,1061,5.27803958529689,27.238454288407166,20.735155513666353,0.0,350010004023
Block Group 4; Census Tract 4.02; Bernalillo County; New Mexico,1091,12,20,589,278,0,21,35,001,000402,4,1091,2.933088909257562,46.012832263978,25.481209899175067,1.924839596700275,350010004024
Block Group 1; Census Tract 5.01; Bernalillo County; New Mexico,2069,135,167,844,841,0,85,35,001,000501,1,2069,14.59642339294345,59.20734654422426,40.647655872402126,4.1082648622522955,350010005011
Block Group 2; Census Tract 5.01; Bernalillo County; New Mexico,617,197,177,307,85,0,244,35,001,000501,2,617,60.6158833063209,50.24311183144247,13.776337115072934,39.546191247974065,350010005012
Block Group 1; Census Tract 5.03; Bernalillo County; New Mexico,1208,78,44,865,219,0,29,35,001,000503,1,1208,10.099337748344372,28.39403973509934,18.129139072847682,2.4006622516556293,350010005031
Block Group 2; Census Tract 5.03; Bernalillo County; New Mexico,2077,260,55,1068,453,0,137,35,001,000503,2,2077,15.166104959075591,48.57968223399133,21.81030332209918,6.596051998074145,350010005032
Block Group 1; Census Tract 5.04; Bernalillo County; New Mexico,1355,77,49,736,340,0,49,35,001,000504,1,1355,9.29889298892989,45.68265682656827,25.092250922509223,3.616236162361624,350010005041
Block Group 1; Census Tract 6.01; Bernalillo County; New Mexico,1138,10,132,569,312,0,184,35,001,000601,1,1138,12.478031634446397,50.0,27.416520210896312,16.16871704745167,350010006011
Block Group 2; Census Tract 6.01; Bernalillo County; New Mexico,1006,110,374,417,457,9,209,35,001,000601,2,1006,48.111332007952285,58.54870775347912,45.42743538767396,21.669980119284293,350010006012
Block Group 3; Census Tract 6.01; Bernalillo County; New Mexico,1056,31,17,483,257,0,0,35,001,000601,3,1056,4.545454545454546,54.26136363636363,24.33712121212121,0.0,350010006013
Block Group 4; Census Tract 6.01; Bernalillo County; New Mexico,843,36,0,473,236,0,8,35,001,000601,4,843,4.270462633451958,43.890865954922894,27.995255041518384,0.9489916963226572,350010006014
Block Group 1; Census Tract 6.03; Bernalillo County; New Mexico,2377,131,625,703,1363,0,215,35,001,000603,1,2377,31.804795961295753,70.42490534286915,57.34118636937316,9.045014724442575,350010006031
Block Group 2; Census Tract 6.03; Bernalillo County; New Mexico,2132,342,517,293,1471,27,320,35,001,000603,2,2132,40.290806754221386,86.25703564727955,68.99624765478424,16.27579737335835,350010006032
Block Group 1; Census Tract 6.05; Bernalillo County; New Mexico,1127,0,174,471,532,0,0,35,001,000605,1,1127,15.43921916592724,58.20763087843833,47.20496894409938,0.0,350010006051
Block Group 2; Census Tract 6.05; Bernalillo County; New Mexico,797,124,145,19,556,0,79,35,001,000605,2,797,33.75156838143036,97.61606022584692,69.76160602258469,9.912170639899625,350010006052
Block Group 3; Census Tract 6.05; Bernalillo County; New Mexico,608,96,123,210,311,0,114,35,001,000605,3,608,36.01973684210527,65.46052631578947,51.151315789473685,18.75,350010006053
Block Group 4; Census Tract 6.05; Bernalillo County; New Mexico,713,49,55,205,438,19,0,35,001,000605,4,713,14.586255259467041,71.24824684431978,61.430575035063114,2.664796633941094,350010006054
Block Group 5; Census Tract 6.05; Bernalillo County; New Mexico,831,6,211,272,499,0,77,35,001,000605,5,831,26.113116726835138,67.26835138387484,60.048134777376646,9.265944645006016,350010006055
Block Group 1; Census Tract 7.04; Bernalillo County; New Mexico,856,0,165,213,573,0,0,35,001,000704,1,856,19.27570093457944,75.11682242990653,66.93925233644859,0.0,350010007041
Block Group 2; Census Tract 7.04; Bernalillo County; New Mexico,854,134,34,386,374,5,41,35,001,000704,2,854,19.672131147540984,54.800936768149874,43.79391100702576,5.386416861826698,350010007042
Block Group 3; Census Tract 7.04; Bernalillo County; New Mexico,1984,112,116,795,970,21,0,35,001,000704,3,1984,11.491935483870968,59.929435483870975,48.891129032258064,1.0584677419354838,350010007043
Block Group 1; Census Tract 7.11; Bernalillo County; New Mexico,2476,121,137,1722,379,102,0,35,001,000711,1,2476,10.420032310177705,30.452342487883687,15.306946688206786,4.119547657512116,350010007111
Block Group 2; Census Tract 7.11; Bernalillo County; New Mexico,737,4,53,388,272,0,0,35,001,000711,2,737,7.734056987788331,47.354138398914515,36.90637720488466,0.0,350010007112
Block Group 3; Census Tract 7.11; Bernalillo County; New Mexico,1013,31,104,477,336,18,0,35,001,000711,3,1013,13.326752221125371,52.91214215202369,33.16880552813426,1.7769002961500493,350010007113
Block Group 1; Census Tract 7.12; Bernalillo County; New Mexico,2490,209,583,710,965,0,92,35,001,000712,1,2490,31.807228915662648,71.4859437751004,38.75502008032129,3.6947791164658637,350010007121
Block Group 2; Census Tract 7.12; Bernalillo County; New Mexico,1806,18,439,938,584,13,95,35,001,000712,2,1806,25.30454042081949,48.06201550387597,32.33665559246955,5.980066445182724,350010007122
